name	element	base_type	base_c	re_atom_energy	binding_energy	base_energy	o	h	c	n	f	s	co2	cho	co	cooh	n2	n2h	no	noh	oh	h2o
4-2-lu	lu	5	-598.27087	-0.18616	-10.6426	-609.09963	-617.99316	-613.5625488	-617.8655919	-617.93765	-613.6964111	-614.5928019	-632.1972757	-626.6297385	-625.7096707	-635.1085462	-625.7656223	-627.7660775	-623.2667048	-627.4337183	-620.03524	-623.9714311
4_3_la	la	6	-599.37063	-0.64194	-10.51457	-610.52714	-618.84828	-614.4213497	-618.3450375	-618.8606868	-614.94241	-615.9256918	-632.8358436	-627.794376	-626.3810723	-636.5706485	-627.4642073	-629.3279977	-624.5251066	-628.3842089	-620.9364222	-625.0237764
4_3_ce	ce	6	-599.37063	-1.30376	-9.92242	-610.59681	-619.08872	-614.5350488	-618.3835062	-618.998417	-615.0147797	-616.0385724	-632.9398609	-627.9904634	-626.484317	-636.6991407	-627.494249	-629.0996998	-624.9028068	-628.6104765	-621.2441753	-625.3115755
4_3_pr	pr	6	-599.37063	-2.79068	-9.1796	-611.34091	-619.12434	-614.9347371	-618.7340984	-619.4379107	-615.658563	-616.55723	-633.2494666	-628.5773903	-626.8008569	-637.1845763	-627.7215814	-629.0063955	-625.6407126	-629.1270064	-621.913075	-625.47302
4-3-nd	nd	6	-599.37063	-4.42155	-8.59432	-612.3865	-620.76608	-615.33523	-619.8193474	-620.9395093	-617.010494	-617.7241758	-632.6039	-629.8931456	-627.9959877	-638.4198888	-629.0001585	-629.8604569	-627.0545903	-630.4953103	-623.2814055	-627.3559324
4-3-sm	sm	6	-599.37063	-8.6783	-7.71155	-615.76048	-624.02359	-619.2612163	-622.34599	-624.74653	-620.4627363	-620.9688391	-637.5103631	-633.26236	-630.9936894	-641.6953054	-632.2582708	-632.3415353	-630.4529552	-633.8654559	-626.6587563	-630.7895298
4-3eu	eu	6	-599.37063	-8.39244	-2.5981	-610.36117	-617.40455	-613.7169325	-616.6598713	-617.41274	-615.8372006	-615.1633174	-631.5172832	-628.1028768	-624.73727	-635.9716081	-624.8077331	-623.7061743	-627.2966996	-628.7561664	-622.753718	-626.6515655
4-3-gd	gd	6	-599.37063	-10.37866	-9.30986	-619.05915	-627.73177	-622.5752579	-626.2015959	-628.8965512	-623.72843	-624.369999	-640.9053919	-636.5782008	-634.3204492	-645.52525	-636.2834958	-636.5235918	-632.9122643	-637.050226	-629.3926287	-633.6324951
4-3-tb	tb	6	-599.37063	-8.57675	-8.45275	-616.40013	-625.54853	-620.2397831	-623.7750577	-626.0106894	-621.2353858	-621.9085993	-638.5797841	-634.1824858	-632.031548	-642.6309305	-633.78832	-633.7747235	-631.0356454	-634.780617	-627.3446956	-631.4855382
4-3-dy	dy	6	-599.37063	-7.25458	-8.26359	-614.8888	-623.65245	-618.7367859	-622.2200033	-624.0354602	-619.6632006	-620.33735	-636.9696086	-632.5626943	-630.453169	-641.0123918	-631.7427881	-633.96597	-629.6058885	-633.1584503	-625.8550062	-629.9668063
4-3-ho	ho	6	-599.37063	-6.05906	-7.85818	-613.28787	-621.21696	-616.846786	-620.4023075	-621.7010959	-617.895154	-618.4392313	-635.0635	-630.7245857	-628.5746245	-639.1495815	-629.5317261	-630.0284532	-628.32567	-631.2791638	-624.1872405	-628.2748096
4-3-er	er	6	-599.37063	-5.17143	-7.2745	-611.81656	-619.5525	-615.365139	-618.8927928	-619.8520845	-616.5111022	-616.9214582	-633.5377069	-629.80054	-627.0943792	-637.6374369	-627.7600404	-628.2386081	-626.8693674	-628.88852	-622.9244479	-626.9672917
4-3-tm	tm	6	-599.37063	-4.35124	-7.08591	-610.80778	-619.20864	-614.6902161	-618.1521527	-619.0261181	-615.7900488	-616.1534641	-632.8938503	-628.4965249	-626.69699	-636.8777977	-627.0216824	-627.4937333	-626.2734159	-629.170929	-621.98926	-626.2739608
4-3-yb	yb	6	-599.37063	-0.03756	-6.67344	-606.08163	-614.54402	-610.281701	-613.7342272	-613.5407022	-611.268176	-611.5388187	-628.4685368	-623.8426634	-622.1025871	-632.2561356	-622.0289578	-622.9513019	-622.1810485	-624.6344461	-618.0175604	-621.8905212
4-3-lu	lu	6	-599.37063	-0.18616	-9.58144	-609.13823	-618.10388	-613.348263	-617.1411578	-617.5376047	-613.8199152	-614.762708	-631.7737825	-626.7341383	-625.3334423	-635.4312267	-626.11087	-627.7656068	-623.8947911	-627.4419395	-620.157234	-624.1678198
5-la	la	7	-600.32923	-0.64194	-10.06007	-611.03124	-619.31044	-614.6302654	-618.2307197	-619.2605614	-615.1918249	-616.511407	-632.8738049	-628.2649686	-626.4704247	-637.3061896	-628.322748	-629.8784	-625.2531396	-628.7394342	-621.2686194	-625.5265
5-ce	ce	7	-600.32923	-1.30376	-9.54768	-611.18067	-619.52827	-614.99218	-618.3202823	-619.4406447	-615.4699404	-616.6696613	-633.0097962	-628.4966013	-626.6059271	-637.477351	-628.3991361	-629.8218306	-625.6323305	-628.987171	-621.5897193	-625.7865806
